title,year,clean_title,appearance_count
Alien,,alien,611
Evil Dead,,evil dead,545
Final Destination,,final destination,440
Parasite,2019.0,parasite,434
Get Out,2017.0,get out,424
Knives Out,2019.0,knives out,423
Once Upon a Time... in Hollywood,,once upon time in hollywood,418
La La Land,,la la land,413
Lady Bird,,lady bird,412
Gone Girl,,gone girl,411
Nope,,nope,410
Barbie,,barbie,409
Midsommar,,midsommar,407
Taxi Driver,,taxi driver,407
Whiplash,2014.0,whiplash,406
Arrival,2016.0,arrival,403
Baby Driver,,baby driver,399
Dune,2021.0,dune,399
Everything Everywhere All at Once,,everything everywhere all at once,399
Mad Max: Fury Road,,mad max fury road,399
Interstellar,,interstellar,398
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,397
The Batman,,batman,397
The Grand Budapest Hotel,,grand budapest hotel,397
Us,2019.0,us,397
Hereditary,,hereditary,395
Oppenheimer,2023.0,oppenheimer,395
The Social Network,,social network,395
Joker,2019.0,joker,393
The Shining,,shining,393
Uncut Gems,,uncut gems,390
Challengers,,challengers,388
Glass Onion,,glass onion,387
Scream,,scream,385
The Predator,,predator,384
The Lighthouse,2019.0,lighthouse,383
The Matrix,,matrix,383
American Psycho,,american psycho,382
Black Panther,,black panther,382
Inception,,inception,379
The Dark Knight,,dark knight,379
The Wolf of Wall Street,,wolf of wall street,379
Scott Pilgrim vs. the World,,scott pilgrim vs world,378
The Witch,2015.0,witch,378
Inglourious Basterds,,inglourious basterds,377
The Substance,,substance,377
Jurassic Park,,jurassic park,376
Moonlight,2016.0,moonlight,376
Poor Things,2023.0,poor things,376
The Menu,2022.0,menu,376
Fight Club,,fight club,375
Her,,her,375
John Wick,,john wick,374
Pulp Fiction,,pulp fiction,374
Se7en,,se7en,374
Zodiac,,zodiac,374
Dunkirk,2017.0,dunkirk,373
Little Women,2019.0,little women,373
Good Time,,good time,372
Thor: Ragnarok,,thor ragnarok,372
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,371
Guardians of the Galaxy,,guardians of galaxy,371
Drive,2011.0,drive,370
Inside Out,2015.0,inside out,370
The Favourite,,favourite,370
The Nice Guys,,nice guys,369
The Silence of the Lambs,,silence of lambs,369
Top Gun: Maverick,,top gun maverick,368
Avengers: Infinity War,,avengers infinity war,367
A Quiet Place,2018.0,quiet place,366
Booksmart,,booksmart,366
Ex Machina,2015.0,ex machina,366
Phantom Thread,,phantom thread,366
Call Me by Your Name,,call me by your name,365
Jaws,,jaws,365
Spider-Man: Homecoming,,spiderman homecoming,364
Avengers: Endgame,,avengers endgame,362
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,362
It,2017.0,it,362
Marriage Story,2019.0,marriage story,362
Star Wars: The Force Awakens,,star wars force awakens,362
Star Wars: The Last Jedi,,star wars last jedi,362
Mulholland Drive,,mulholland drive,361
Spider-Man,,spiderman,361
Black Swan,,black swan,360
Nightcrawler,,nightcrawler,360
Star Wars,,star wars,360
Anora,,anora,359
Blade Runner 2049,2049.0,blade runner 2049,359
Portrait of a Lady on Fire,,portrait of lady on fire,359
The Holdovers,,holdovers,358
The Truman Show,,truman show,358
Before Sunrise,,before sunrise,357
Annihilation,,annihilation,356
Sinners,2025.0,sinners,356
The Banshees of Inisherin,,banshees of inisherin,356
Halloween,1978.0,halloween,355
Kill Bill: Vol. 1,,kill bill vol 1,355
Nosferatu,2024.0,nosferatu,355
Tenet,,tenet,355
The Florida Project,,florida project,355
X,2022.0,x,355
Fantastic Mr. Fox,,fantastic mr fox,354
Dune: Part Two,,dune part two,353
The House,,house,353
Moonrise Kingdom,,moonrise kingdom,352
Captain America: Civil War,,captain america civil war,351
Deadpool,,deadpool,351
Barbarian,2022.0,barbarian,350
The Hunger Games,,hunger games,350
The Thing,,thing,349
Jojo Rabbit,,jojo rabbit,348
Licorice Pizza,,licorice pizza,348
Spider-Man: Far From Home,,spiderman far from home,348
The Shape of Water,,shape of water,348
No Country for Old Men,,no country for old men,346
Psycho,,psycho,346
The Avengers,2012.0,avengers,346
The Dark Knight Rises,,dark knight rises,346
Frances Ha,,frances ha,345
GoodFellas,,goodfellas,345
Prisoners,,prisoners,345
Rogue One: A Star Wars Story,,rogue one star wars story,345
Spider-Man: No Way Home,,spiderman no way home,345
The Lobster,,lobster,345
Fargo,,fargo,344
"I, Tonya",,i tonya,344
It Follows,,it follows,343
Bottoms,,bottoms,342
Eyes Wide Shut,,eyes wide shut,342
The Godfather,,godfather,342
Captain America: The Winter Soldier,,captain america winter soldier,341
Captain Marvel,,captain marvel,341
Conclave,,conclave,341
Longlegs,,longlegs,341
Ratatouille,,ratatouille,341
Saltburn,,saltburn,341
Shaun of the Dead,,shaun of dead,341
Titanic,1997.0,titanic,341
Carol,2015.0,carol,340
Killers of the Flower Moon,,killers of flower moon,340
Back to the Future,,back to future,339
Palm Springs,2020.0,palm springs,339
Ant-Man,,antman,338
Batman Begins,,batman begins,338
Snowpiercer,,snowpiercer,338
Spider-Man: Across the Spider-Verse,,spiderman across spiderverse,338
The Empire Strikes Back,,empire strikes back,338
The Invisible Man,2020.0,invisible man,338
The Killing of a Sacred Deer,,killing of sacred deer,338
Last Night in Soho,,last night in soho,337
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,337
Bodies Bodies Bodies,,bodies bodies bodies,336
