title,year,clean_title,appearance_count
Alien³,,alien,10
The Evil Dead,,evil dead,8
12 Angry Men,,12 angry men,6
2001: A Space Odyssey,,2001 space odyssey,6
A Complete Unknown,,complete unknown,6
A Quiet Place,2018.0,quiet place,6
A Real Pain,,real pain,6
Aftersun,,aftersun,6
Alien: Romulus,,alien romulus,6
American Psycho,,american psycho,6
Anatomy of a Fall,,anatomy of fall,6
Anora,,anora,6
Ant-Man,,antman,6
Arrival,2016.0,arrival,6
Avatar,,avatar,6
Avatar: The Way of Water,,avatar way of water,6
Avengers: Endgame,,avengers endgame,6
Avengers: Infinity War,,avengers infinity war,6
Baby Driver,,baby driver,6
Barbie,,barbie,6
Batman Begins,,batman begins,6
Beetlejuice,,beetlejuice,6
Before Midnight,,before midnight,6
Before Sunrise,,before sunrise,6
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,6
Black Panther,,black panther,6
Blade Runner 2049,2049.0,blade runner 2049,6
Bottoms,,bottoms,6
Call Me by Your Name,,call me by your name,6
Captain America: Civil War,,captain america civil war,6
Catch Me If You Can,2002.0,catch me if you can,6
Challengers,,challengers,6
Charlie and the Chocolate Factory,,charlie and chocolate factory,6
Conclave,,conclave,6
Deadpool,,deadpool,6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,dr strangelove or how i learned to stop worrying and love bomb,6
Drive,2011.0,drive,6
Dune,2021.0,dune,6
Dune: Part Two,,dune part two,6
Enemy,,enemy,6
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,6
Everything Everywhere All at Once,,everything everywhere all at once,6
Fantastic Mr. Fox,,fantastic mr fox,6
Fargo,,fargo,6
Finding Nemo,,finding nemo,6
Furiosa: A Mad Max Saga,,furiosa mad max saga,6
Get Out,2017.0,get out,6
Glass Onion,,glass onion,6
Gone Girl,,gone girl,6
Guardians of the Galaxy,,guardians of galaxy,6
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,6
Halloween,1978.0,halloween,6
Her,,her,6
Home Alone,,home alone,6
Home Alone 2: Lost in New York,,home alone 2 lost in new york,6
Inception,,inception,6
Incredibles 2,,incredibles 2,6
Inglourious Basterds,,inglourious basterds,6
Inside Out,2015.0,inside out,6
Interstellar,,interstellar,6
Iron Man,2008.0,iron man,6
Iron Man 2,,iron man 2,6
Iron Man 3,,iron man 3,6
It's a Wonderful Life,,its wonderful life,6
Jaws,,jaws,6
Jojo Rabbit,,jojo rabbit,6
Joker,2019.0,joker,6
Joker: Folie à Deux,,joker folie deux,6
Jurassic Park,,jurassic park,6
Killers of the Flower Moon,,killers of flower moon,6
Knives Out,2019.0,knives out,6
Kung Fu Panda,,kung fu panda,6
La La Land,,la la land,6
Lady Bird,,lady bird,6
Last Night in Soho,,last night in soho,6
Little Miss Sunshine,,little miss sunshine,6
Lost in Translation,,lost in translation,6
Luca,2021.0,luca,6
Mad Max: Fury Road,,mad max fury road,6
Madagascar,,madagascar,6
Madame Web,,madame web,6
Manchester by the Sea,,manchester by sea,6
Memento,,memento,6
Mission: Impossible,,mission impossible,6
Mission: Impossible III,,mission impossible iii,6
Mission: Impossible – Dead Reckoning,,mission impossible dead reckoning,6
Mission: Impossible – Fallout,,mission impossible fallout,6
Mission: Impossible – Ghost Protocol,,mission impossible ghost protocol,6
Mission: Impossible – Rogue Nation,,mission impossible rogue nation,6
Mission: Impossible – The Final Reckoning,,mission impossible final reckoning,6
Moana,2016.0,moana,6
Moonlight,2016.0,moonlight,6
Moonrise Kingdom,,moonrise kingdom,6
Network,,network,6
Nickel Boys,,nickel boys,6
Nightcrawler,,nightcrawler,6
Nope,,nope,6
Nosferatu,2024.0,nosferatu,6
Ocean's Eleven,2001.0,oceans eleven,6
Oldboy,,oldboy,6
Once Upon a Time... in Hollywood,,once upon time in hollywood,6
Oppenheimer,2023.0,oppenheimer,6
Parasite,2019.0,parasite,6
Past Lives,,past lives,6
Phantom Thread,,phantom thread,6
Pig,2021.0,pig,6
Poor Things,2023.0,poor things,6
Portrait of a Lady on Fire,,portrait of lady on fire,6
Pride & Prejudice,,pride prejudice,6
Pulp Fiction,,pulp fiction,6
Punch-Drunk Love,,punchdrunk love,6
Ratatouille,,ratatouille,6
Rear Window,,rear window,6
Scott Pilgrim vs. the World,,scott pilgrim vs world,6
Se7en,,se7en,6
Shiva Baby,2020.0,shiva baby,6
Shrek,,shrek,6
Shrek 2,,shrek 2,6
Spider-Man,,spiderman,6
Spider-Man 2,,spiderman 2,6
Spider-Man: Across the Spider-Verse,,spiderman across spiderverse,6
Spider-Man: Far From Home,,spiderman far from home,6
Spider-Man: Homecoming,,spiderman homecoming,6
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,6
Spider-Man: No Way Home,,spiderman no way home,6
Superman,2025.0,superman,6
Taxi Driver,,taxi driver,6
Tenet,,tenet,6
The Avengers,2012.0,avengers,6
The Banshees of Inisherin,,banshees of inisherin,6
The Beast,,beast,6
The Dark Knight,,dark knight,6
The Dark Knight Rises,,dark knight rises,6
The Fabelmans,,fabelmans,6
The Father,2020.0,father,6
The Favourite,,favourite,6
The Final Destination,,final destination,6
The Grand Budapest Hotel,,grand budapest hotel,6
The Holdovers,,holdovers,6
The Hunger Games,,hunger games,6
The Incredibles,,incredibles,6
The Iron Giant,,iron giant,6
The Killer,2023.0,killer,6
The Lighthouse,2019.0,lighthouse,6
The Lobster,,lobster,6
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,6
The Lord of the Rings: The Return of the King,,lord of rings return of king,6
The Lord of the Rings: The Two Towers,,lord of rings two towers,6
The Matrix,,matrix,6
The Menu,2022.0,menu,6
The Nice Guys,,nice guys,6
The Phoenician Scheme,,phoenician scheme,6
The Prestige,,prestige,6
The Shape of Water,,shape of water,6
The Shawshank Redemption,,shawshank redemption,6
The Shining,,shining,6
The Silence of the Lambs,,silence of lambs,6
The Social Network,,social network,6
The Substance,,substance,6
The Terminator,,terminator,6
The Thing,,thing,6
The Truman Show,,truman show,6
The Zone of Interest,,zone of interest,6
