title,year,clean_title,appearance_count
Alien³,,alien,10
Taxi Driver,,taxi driver,6
1917,,1917,5
2001: A Space Odyssey,,2001 space odyssey,5
A Complete Unknown,,complete unknown,5
A Quiet Place,2018.0,quiet place,5
Airplane!,,airplane,5
Alien: Romulus,,alien romulus,5
Anatomy of a Fall,,anatomy of fall,5
Anora,,anora,5
Ant-Man,,antman,5
Arrival,2016.0,arrival,5
Avatar,,avatar,5
Avatar: The Way of Water,,avatar way of water,5
Avengers: Endgame,,avengers endgame,5
Avengers: Infinity War,,avengers infinity war,5
Baby Driver,,baby driver,5
Babylon,2022.0,babylon,5
Back to the Future,,back to future,5
Barbie,,barbie,5
Batman Begins,,batman begins,5
Beetlejuice Beetlejuice,,beetlejuice beetlejuice,5
Before Sunrise,,before sunrise,5
Before Sunset,,before sunset,5
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,5
BlacKkKlansman,,blackkklansman,5
Black Panther,,black panther,5
Blade Runner,,blade runner,5
Blade Runner 2049,2049.0,blade runner 2049,5
Bohemian Rhapsody,,bohemian rhapsody,5
Bottoms,,bottoms,5
Bullet Train,,bullet train,5
C'mon C'mon,,cmon cmon,5
Call Me by Your Name,,call me by your name,5
Captain America: Civil War,,captain america civil war,5
Catch Me If You Can,2002.0,catch me if you can,5
Challengers,,challengers,5
Citizen Kane,,citizen kane,5
Conclave,,conclave,5
Deadpool,,deadpool,5
Deadpool 2,,deadpool 2,5
Die Hard,,die hard,5
Doctor Strange,2016.0,doctor strange,5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,dr strangelove or how i learned to stop worrying and love bomb,5
Dream Scenario,,dream scenario,5
Drive,2011.0,drive,5
Dune,2021.0,dune,5
Dune: Part Two,,dune part two,5
Dunkirk,2017.0,dunkirk,5
E.T. the Extra-Terrestrial,,et extraterrestrial,5
Enemy,,enemy,5
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,5
Everything Everywhere All at Once,,everything everywhere all at once,5
Ex Machina,2015.0,ex machina,5
Fantastic Mr. Fox,,fantastic mr fox,5
Fargo,,fargo,5
Finding Nemo,,finding nemo,5
First Man,,first man,5
Ford v Ferrari,,ford v ferrari,5
Frances Ha,,frances ha,5
Furiosa: A Mad Max Saga,,furiosa mad max saga,5
Game Night,,game night,5
Get Out,2017.0,get out,5
Glass Onion,,glass onion,5
Godzilla Minus One,,godzilla minus one,5
Gone Girl,,gone girl,5
Good Time,,good time,5
Guardians of the Galaxy,,guardians of galaxy,5
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,5
Guardians of the Galaxy Vol. 3,,guardians of galaxy vol 3,5
Her,,her,5
I Saw the TV Glow,,i saw tv glow,5
Inception,,inception,5
