username,title,year,rating,film_slug,year_clean,title_norm,tmdb_id
schaffrillas,Happy Gilmore 2,2025,4,happy-gilmore-2,,happygilmore2,1263256
schaffrillas,Smurfs,2025,2,smurfs,,smurfs,936108
schaffrillas,Superman,2025,7,superman-2025,2025.0,superman,1061474
schaffrillas,KPop Demon Hunters,2025,7,kpop-demon-hunters,,kpopdemonhunters,803796
schaffrillas,Elio,2025,6,elio,,elio,1022787
schaffrillas,The Phoenician Scheme,2025,8,the-phoenician-scheme,,thephoenicianscheme,1137350
schaffrillas,Mission: Impossible – The Final Reckoning,2025,7,mission-impossible-the-final-reckoning,,missionimpossible–thefinalreckoning,575265
schaffrillas,Sinners,2025,8,sinners-2025,2025.0,sinners,1233413
schaffrillas,A Minecraft Movie,2025,4,a-minecraft-movie,,aminecraftmovie,950387
schaffrillas,"Sorry, Baby",2025,7,sorry-baby-2025,2025.0,"sorry,baby",1205515
schaffrillas,A Complete Unknown,2024,6,a-complete-unknown,,acompleteunknown,661539
schaffrillas,Sonic the Hedgehog 3,2024,8,sonic-the-hedgehog-3,,sonicthehedgehog3,939243
schaffrillas,Mufasa: The Lion King,2024,2,mufasa-the-lion-king,,mufasathelionking,762509
schaffrillas,Wallace & Gromit: Vengeance Most Fowl,2024,8,wallace-gromit-vengeance-most-fowl,,wallace&gromitvengeancemostfowl,929204
schaffrillas,Nosferatu,2024,9,nosferatu-2024,2024.0,nosferatu,426063
schaffrillas,Moana 2,2024,5,moana-2,,moana2,1241982
schaffrillas,Wicked,2024,8,wicked-2024,2024.0,wicked,402431
schaffrillas,Juror #2,2024,7,juror-2,,juror#2,1106739
schaffrillas,The Penguin,2024,8,the-penguin-2024,2024.0,thepenguin,1086497
schaffrillas,The Wild Robot,2024,9,the-wild-robot,,thewildrobot,1184918
schaffrillas,Transformers One,2024,8,transformers-one,,transformersone,698687
schaffrillas,Joker: Folie à Deux,2024,3,joker-folie-a-deux,,jokerfolieàdeux,889737
schaffrillas,I'm Still Here,2024,8,im-still-here-2024,2024.0,imstillhere,1000837
schaffrillas,The Brutalist,2024,6,the-brutalist,,thebrutalist,549509
schaffrillas,Saturday Night,2024,7,saturday-night-2024,2024.0,saturdaynight,1120911
schaffrillas,Nickel Boys,2024,8,nickel-boys,,nickelboys,1028196
schaffrillas,Better Man,2024,6,better-man-2024,2024.0,betterman,799766
schaffrillas,Conclave,2024,5,conclave,,conclave,974576
schaffrillas,Beetlejuice Beetlejuice,2024,6,beetlejuice-beetlejuice,,beetlejuicebeetlejuice,917496
schaffrillas,Alien: Romulus,2024,7,alien-romulus,,alienromulus,945961
schaffrillas,Deadpool & Wolverine,2024,5,deadpool-wolverine,,deadpool&wolverine,533535
schaffrillas,Trap,2024,7,trap-2024,2024.0,trap,1032823
schaffrillas,Despicable Me 4,2024,5,despicable-me-4,,despicableme4,519182
schaffrillas,Memoir of a Snail,2024,9,memoir-of-a-snail,,memoirofasnail,1064486
schaffrillas,Look Back,2024,9,look-back-2024,2024.0,lookback,1244492
schaffrillas,Inside Out 2,2024,8,inside-out-2-2024,2024.0,insideout2,1022789
schaffrillas,Flow,2024,8,flow-2024,2024.0,flow,608149
schaffrillas,Anora,2024,9,anora,,anora,1064213
schaffrillas,The Apprentice,2024,8,the-apprentice-2024,2024.0,theapprentice,1182047
schaffrillas,The Substance,2024,9,the-substance,,thesubstance,933260
schaffrillas,Emilia Pérez,2024,3,emilia-perez,,emiliapérez,974950
schaffrillas,Megalopolis,2024,6,megalopolis-2024,2024.0,megalopolis,592831
schaffrillas,Furiosa: A Mad Max Saga,2024,8,furiosa-a-mad-max-saga,,furiosaamadmaxsaga,786892
schaffrillas,Unfrosted,2024,3,unfrosted,,unfrosted,844185
schaffrillas,Challengers,2024,9,challengers,,challengers,937287
schaffrillas,Snack Shack,2024,7,snack-shack,,snackshack,1037113
schaffrillas,Kung Fu Panda 4,2024,5,kung-fu-panda-4,,kungfupanda4,1011985
schaffrillas,Madame Web,2024,2,madame-web,,madameweb,634492
schaffrillas,Dune: Part Two,2024,9,dune-part-two,,duneparttwo,693134
schaffrillas,A Different Man,2024,8,a-different-man,,adifferentman,989662
schaffrillas,A Real Pain,2024,8,a-real-pain,,arealpain,1013850
schaffrillas,Dìdi (弟弟),2024,8,didi-2024,2024.0,dìdi(弟弟),1158915
schaffrillas,I Saw the TV Glow,2024,8,i-saw-the-tv-glow,,isawthetvglow,858017
schaffrillas,ted,2024,8,ted-2024,2024.0,ted,72105
schaffrillas,The Color Purple,2023,6,the-color-purple-2023,2023.0,thecolorpurple,558915
schaffrillas,Leo,2023,6,leo-2023,2023.0,leo,1075794
schaffrillas,Godzilla Minus One,2023,8,godzilla-minus-one,,godzillaminusone,940721
schaffrillas,Chicken Run: Dawn of the Nugget,2023,5,chicken-run-dawn-of-the-nugget,,chickenrundawnofthenugget,520758
schaffrillas,Poison,2023,9,poison-2023,2023.0,poison,1172676
schaffrillas,The Rat Catcher,2023,8,the-rat-catcher-2023,2023.0,theratcatcher,1172674
schaffrillas,The Swan,2023,8,the-swan-2023,2023.0,theswan,1172675
schaffrillas,Sing Sing,2023,9,sing-sing-2023,2023.0,singsing,1155828
schaffrillas,Dream Scenario,2023,9,dream-scenario,,dreamscenario,823482
schaffrillas,American Fiction,2023,6,american-fiction,,americanfiction,1056360
schaffrillas,Priscilla,2023,7,priscilla,,priscilla,1020006
schaffrillas,The Killer,2023,6,the-killer-2023,2023.0,thekiller,800158
schaffrillas,Maestro,2023,6,maestro-2023,2023.0,maestro,523607
schaffrillas,Poor Things,2023,9,poor-things-2023,2023.0,poorthings,792307
schaffrillas,The Wonderful Story of Henry Sugar,2023,7,the-wonderful-story-of-henry-sugar,,thewonderfulstoryofhenrysugar,923939
schaffrillas,The Holdovers,2023,10,the-holdovers,,theholdovers,840430
schaffrillas,You Are So Not Invited to My Bat Mitzvah,2023,7,you-are-so-not-invited-to-my-bat-mitzvah,,youaresonotinvitedtomybatmitzvah,999644
schaffrillas,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7,teenage-mutant-ninja-turtles-mutant-mayhem,,teenagemutantninjaturtlesmutantmayhem,614930
schaffrillas,The Boy and the Heron,2023,10,the-boy-and-the-heron,,theboyandtheheron,508883
schaffrillas,Oppenheimer,2023,9,oppenheimer-2023,2023.0,oppenheimer,872585
schaffrillas,Mission: Impossible – Dead Reckoning,2023,9,mission-impossible-dead-reckoning,,missionimpossible–deadreckoning,575264
schaffrillas,Barbie,2023,9,barbie,,barbie,346698
schaffrillas,They Cloned Tyrone,2023,7,they-cloned-tyrone,,theyclonedtyrone,736769
schaffrillas,Nimona,2023,8,nimona-2023,2023.0,nimona,961323
schaffrillas,Spider-Man: Across the Spider-Verse,2023,9,spider-man-across-the-spider-verse,,spidermanacrossthespiderverse,569094
schaffrillas,Elemental,2023,5,elemental-2023,2023.0,elemental,976573
schaffrillas,Perfect Days,2023,8,perfect-days-2023,2023.0,perfectdays,976893
schaffrillas,Asteroid City,2023,7,asteroid-city,,asteroidcity,747188
schaffrillas,Anatomy of a Fall,2023,8,anatomy-of-a-fall,,anatomyofafall,915935
schaffrillas,May December,2023,9,may-december,,maydecember,839369
schaffrillas,Killers of the Flower Moon,2023,8,killers-of-the-flower-moon,,killersoftheflowermoon,466420
schaffrillas,The Zone of Interest,2023,6,the-zone-of-interest,,thezoneofinterest,467244
schaffrillas,Indiana Jones and the Dial of Destiny,2023,3,indiana-jones-and-the-dial-of-destiny,,indianajonesandthedialofdestiny,335977
schaffrillas,Guardians of the Galaxy Vol. 3,2023,9,guardians-of-the-galaxy-vol-3,,guardiansofthegalaxyvol3,447365
schaffrillas,The Super Mario Bros. Movie,2023,7,the-super-mario-bros-movie,,thesupermariobrosmovie,502356
schaffrillas,Murder Mystery 2,2023,5,murder-mystery-2,,murdermystery2,638974
schaffrillas,Bottoms,2023,8,bottoms,,bottoms,814776
schaffrillas,Dungeons & Dragons: Honor Among Thieves,2023,8,dungeons-dragons-honor-among-thieves,,dungeons&dragonshonoramongthieves,493529
schaffrillas,John Wick: Chapter 4,2023,7,john-wick-chapter-4,,johnwickchapter4,603692
schaffrillas,BlackBerry,2023,9,blackberry-2023,2023.0,blackberry,1016084
schaffrillas,Rye Lane,2023,9,rye-lane,,ryelane,1049638
schaffrillas,Theater Camp,2023,6,theater-camp-2023,2023.0,theatercamp,986054
schaffrillas,Past Lives,2023,8,past-lives,,pastlives,666277
schaffrillas,Babylon,2022,7,babylon-2022,2022.0,babylon,615777
schaffrillas,Avatar: The Way of Water,2022,6,avatar-the-way-of-water,,avatarthewayofwater,76600
schaffrillas,Puss in Boots: The Last Wish,2022,9,puss-in-boots-the-last-wish,,pussinbootsthelastwish,315162
schaffrillas,The Guardians of the Galaxy Holiday Special,2022,8,the-guardians-of-the-galaxy-holiday-special,,theguardiansofthegalaxyholidayspecial,774752
schaffrillas,Strange World,2022,5,strange-world-2022,2022.0,strangeworld,877269
schaffrillas,Black Panther: Wakanda Forever,2022,7,black-panther-wakanda-forever,,blackpantherwakandaforever,505642
schaffrillas,Guillermo del Toro's Pinocchio,2022,7,guillermo-del-toros-pinocchio,,guillermodeltorospinocchio,555604
schaffrillas,Hundreds of Beavers,2024,9,hundreds-of-beavers,,hundredsofbeavers,1019939
schaffrillas,Entergalactic,2022,8,entergalactic,,entergalactic,1027014
schaffrillas,Werewolf by Night,2022,7,werewolf-by-night-in-color,,werewolfbynight,894205
schaffrillas,All Quiet on the Western Front,2022,5,all-quiet-on-the-western-front-2022,2022.0,allquietonthewesternfront,49046
schaffrillas,The Menu,2022,9,the-menu-2022,2022.0,themenu,593643
schaffrillas,The Fabelmans,2022,9,the-fabelmans,,thefabelmans,804095
schaffrillas,Glass Onion,2022,9,glass-onion,,glassonion,661374
schaffrillas,See How They Run,2022,6,see-how-they-run-2022,2022.0,seehowtheyrun,766475
schaffrillas,Weird: The Al Yankovic Story,2022,9,weird-the-al-yankovic-story-2022,2022.0,weirdthealyankovicstory,928344
schaffrillas,Pinocchio,2022,3,pinocchio-2022,2022.0,pinocchio,413518
schaffrillas,The Banshees of Inisherin,2022,9,the-banshees-of-inisherin,,thebansheesofinisherin,674324
schaffrillas,The Whale,2022,2,the-whale-2022,2022.0,thewhale,785084
schaffrillas,Women Talking,2022,8,women-talking,,womentalking,777245
schaffrillas,TÁR,2022,7,tar-2022,2022.0,tár,817758
schaffrillas,Nope,2022,8,nope,,nope,762504
schaffrillas,Minions: The Rise of Gru,2022,4,minions-the-rise-of-gru,,minionstheriseofgru,438148
schaffrillas,Thor: Love and Thunder,2022,5,thor-love-and-thunder,,thorloveandthunder,616037
schaffrillas,Lightyear,2022,3,lightyear-2022,2022.0,lightyear,718789
schaffrillas,The Bob's Burgers Movie,2022,6,the-bobs-burgers-movie,,thebobsburgersmovie,504827
schaffrillas,Elvis,2022,4,elvis-2022,2022.0,elvis,614934
schaffrillas,Aftersun,2022,10,aftersun,,aftersun,965150
schaffrillas,Triangle of Sadness,2022,7,triangle-of-sadness,,triangleofsadness,497828
schaffrillas,Three Thousand Years of Longing,2022,7,three-thousand-years-of-longing,,threethousandyearsoflonging,556694
schaffrillas,Chip 'n Dale: Rescue Rangers,2022,6,chip-n-dale-rescue-rangers,,chipndalerescuerangers,420821
schaffrillas,Top Gun: Maverick,2022,8,top-gun-maverick,,topgunmaverick,361743
schaffrillas,Doctor Strange in the Multiverse of Madness,2022,6,doctor-strange-in-the-multiverse-of-madness,,doctorstrangeinthemultiverseofmadness,453395
schaffrillas,Moon Knight,2022,6,moon-knight-2022,2022.0,moonknight,964943
schaffrillas,Sonic the Hedgehog 2,2022,7,sonic-the-hedgehog-2,,sonicthehedgehog2,675353
schaffrillas,The Northman,2022,7,the-northman,,thenorthman,639933
schaffrillas,RRR,2022,10,rrr,,rrr,579974
schaffrillas,Morbius,2022,10,morbius,,morbius,526896
schaffrillas,The Bad Guys,2022,5,the-bad-guys-2022,2022.0,thebadguys,629542
schaffrillas,Bodies Bodies Bodies,2022,8,bodies-bodies-bodies,,bodiesbodiesbodies,520023
schaffrillas,The Unbearable Weight of Massive Talent,2022,5,the-unbearable-weight-of-massive-talent,,theunbearableweightofmassivetalent,648579
schaffrillas,Everything Everywhere All at Once,2022,9,everything-everywhere-all-at-once,,everythingeverywhereallatonce,545611
schaffrillas,The Batman,2022,8,the-batman,,thebatman,414906
