username,tmdb_id,rating,title,year
schaffrillas,1022796.0,8.0,Wish,2023.0
schaffrillas,976573.0,10.0,Elemental,2023.0
schaffrillas,877269.0,10.0,Strange World,2022.0
schaffrillas,49046.0,10.0,All Quiet on the Western Front,2022.0
schaffrillas,1015602.0,4.0,Welcome to the Club,2022.0
schaffrillas,413518.0,6.0,Pinocchio,2022.0
schaffrillas,785084.0,4.0,The Whale,2022.0
schaffrillas,718789.0,6.0,Lightyear,2022.0
schaffrillas,614934.0,8.0,Elvis,2022.0
schaffrillas,629542.0,10.0,The Bad Guys,2022.0
schaffrillas,1021304.0,10.0,Bubble,2022.0
schaffrillas,646380.0,6.0,Don't Look Up,2021.0
schaffrillas,774741.0,6.0,Diary of a Wimpy Kid,2021.0
schaffrillas,556574.0,2.0,Hamilton,2020.0
schaffrillas,337401.0,2.0,Mulan,2020.0
schaffrillas,508439.0,10.0,Onward,2020.0
schaffrillas,536869.0,4.0,Cats,2019.0
schaffrillas,8587.0,4.0,The Lion King,2019.0
schaffrillas,420817.0,10.0,Aladdin,2019.0
schaffrillas,458723.0,10.0,Us,2019.0
schaffrillas,355547.0,4.0,The Star,2017.0
schaffrillas,351460.0,4.0,Death Note,2017.0
schaffrillas,374720.0,10.0,Dunkirk,2017.0
schaffrillas,418667.0,6.0,Dear Dictator,2017.0
schaffrillas,321612.0,8.0,Beauty and the Beast,2017.0
schaffrillas,335797.0,8.0,Sing,2016.0
schaffrillas,267935.0,6.0,The BFG,2016.0
schaffrillas,228161.0,10.0,Home,2015.0
schaffrillas,224141.0,10.0,Into the Woods,2014.0
schaffrillas,238215.0,4.0,The Cobbler,2014.0
schaffrillas,49047.0,10.0,Gravity,2013.0
schaffrillas,64682.0,8.0,The Great Gatsby,2013.0
schaffrillas,62177.0,6.0,Brave,2012.0
schaffrillas,87428.0,4.0,That's My Boy,2012.0
schaffrillas,73723.0,4.0,The Lorax,2012.0
schaffrillas,64690.0,8.0,Drive,2011.0
schaffrillas,46195.0,10.0,Rio,2011.0
schaffrillas,12155.0,6.0,Alice in Wonderland,2010.0
schaffrillas,792571.0,6.0,How to Take a Bath,2009.0
schaffrillas,199700.0,2.0,What's Up: Balloon to the Rescue!,2009.0
schaffrillas,8966.0,6.0,Twilight,2008.0
schaffrillas,12222.0,8.0,Horton Hears a Who!,2008.0
schaffrillas,9982.0,4.0,Chicken Little,2005.0
schaffrillas,1640.0,8.0,Crash,2004.0
schaffrillas,869.0,4.0,Planet of the Apes,2001.0
schaffrillas,8871.0,8.0,How the Grinch Stole Christmas,2000.0
schaffrillas,236578.0,4.0,1941,1941.0
schaffrillas,1035215.0,6.0,The Visitor,1979.0
timtamtitus,1083433.0,10.0,I Know What You Did Last Summer,2025.0
timtamtitus,541671.0,10.0,Ballerina,2025.0
timtamtitus,1232546.0,8.0,Until Dawn,2025.0
timtamtitus,447273.0,10.0,Snow White,2025.0
timtamtitus,1124620.0,8.0,The Monkey,2025.0
timtamtitus,993710.0,6.0,Back in Action,2025.0
timtamtitus,1059128.0,4.0,Queer,2024.0
timtamtitus,1000837.0,10.0,I'm Still Here,2024.0
timtamtitus,948549.0,6.0,Love Lies Bleeding,2024.0
timtamtitus,1075794.0,8.0,Leo,2023.0
timtamtitus,1022796.0,6.0,Wish,2023.0
timtamtitus,726209.0,10.0,Leave the World Behind,2023.0
timtamtitus,940551.0,8.0,Migration,2023.0
timtamtitus,621587.0,10.0,Next Goal Wins,2023.0
timtamtitus,800158.0,6.0,The Killer,2023.0
timtamtitus,832502.0,6.0,The Monkey King,2023.0
timtamtitus,884605.0,10.0,No Hard Feelings,2023.0
timtamtitus,976573.0,10.0,Elemental,2023.0
timtamtitus,447277.0,10.0,The Little Mermaid,2023.0
timtamtitus,816904.0,8.0,Mummies,2023.0
timtamtitus,877269.0,10.0,Strange World,2022.0
timtamtitus,1008042.0,10.0,Talk to Me,2022.0
timtamtitus,766475.0,8.0,See How They Run,2022.0
timtamtitus,560057.0,10.0,The Sea Beast,2022.0
timtamtitus,718789.0,10.0,Lightyear,2022.0
timtamtitus,629542.0,10.0,The Bad Guys,2022.0
timtamtitus,646380.0,10.0,Don't Look Up,2021.0
timtamtitus,497698.0,8.0,Black Widow,2021.0
timtamtitus,587807.0,10.0,Tom & Jerry,2021.0
timtamtitus,560050.0,6.0,Over the Moon,2020.0
timtamtitus,337401.0,8.0,Mulan,2020.0
timtamtitus,610203.0,10.0,Loop,2020.0
timtamtitus,536869.0,8.0,Cats,2019.0
timtamtitus,458897.0,8.0,Charlie's Angels,2019.0
timtamtitus,453405.0,6.0,Gemini Man,2019.0
timtamtitus,431580.0,6.0,Abominable,2019.0
timtamtitus,475557.0,10.0,Joker,2019.0
timtamtitus,8587.0,10.0,The Lion King,2019.0
timtamtitus,503919.0,8.0,The Lighthouse,2019.0
timtamtitus,449562.0,8.0,The Hustle,2019.0
timtamtitus,1487.0,2.0,Hellboy,2019.0
timtamtitus,449563.0,8.0,Isn't It Romantic,2019.0
timtamtitus,532952.0,10.0,Smash and Grab,2019.0
timtamtitus,297802.0,8.0,Aquaman,2018.0
timtamtitus,335983.0,8.0,Venom,2018.0
timtamtitus,523773.0,6.0,Little Italy,2018.0
timtamtitus,447200.0,8.0,Skyscraper,2018.0
timtamtitus,427641.0,8.0,Rampage,2018.0
timtamtitus,399174.0,10.0,Isle of Dogs,2018.0
timtamtitus,406997.0,10.0,Wonder,2017.0
timtamtitus,419479.0,10.0,The Babysitter,2017.0
timtamtitus,452507.0,2.0,1922,2017.0
timtamtitus,346364.0,10.0,It,2017.0
timtamtitus,282035.0,6.0,The Mummy,2017.0
timtamtitus,9323.0,8.0,Ghost in the Shell,2017.0
timtamtitus,428449.0,10.0,A Ghost Story,2017.0
timtamtitus,207932.0,6.0,Inferno,2016.0
timtamtitus,297761.0,8.0,Suicide Squad,2016.0
timtamtitus,43074.0,8.0,Ghostbusters,2016.0
timtamtitus,300673.0,10.0,The Finest Hours,2016.0
timtamtitus,228161.0,8.0,Home,2015.0
timtamtitus,310131.0,2.0,The Witch,2015.0
timtamtitus,270946.0,10.0,Penguins of Madagascar,2014.0
timtamtitus,228326.0,10.0,The Book of Life,2014.0
timtamtitus,266856.0,10.0,The Theory of Everything,2014.0
timtamtitus,98566.0,10.0,Teenage Mutant Ninja Turtles,2014.0
timtamtitus,240832.0,8.0,Lucy,2014.0
timtamtitus,64682.0,8.0,The Great Gatsby,2013.0
timtamtitus,230767.0,2.0,Hiccups,2013.0
