username,title,year,rating
schaffrillas,Superman,2025,7.0
schaffrillas,KPop Demon Hunters,,7.0
schaffrillas,Elio,,6.0
schaffrillas,The Phoenician Scheme,,8.0
schaffrillas,Mission: Impossible – The Final Reckoning,,7.0
schaffrillas,Cinderella's Castle,,6.0
schaffrillas,Sinners,2025,8.0
schaffrillas,A Minecraft Movie,,4.0
schaffrillas,Tank Fantasy,,8.0
schaffrillas,The Bad Guys: Little Lies and Alibis,,
schaffrillas,Ne Zha 2,,9.0
schaffrillas,OBEX,,7.0
schaffrillas,Johanne Sacreblu,,10.0
schaffrillas,A Complete Unknown,,6.0
schaffrillas,Sonic the Hedgehog 3,,8.0
schaffrillas,Mufasa: The Lion King,,2.0
schaffrillas,Wallace & Gromit: Vengeance Most Fowl,,8.0
schaffrillas,Cunk on Life,,8.0
schaffrillas,Nosferatu,2024,9.0
schaffrillas,Moana 2,,5.0
schaffrillas,Wicked,2024,8.0
schaffrillas,Juror #2,,7.0
schaffrillas,The Penguin,2024,8.0
schaffrillas,The Wild Robot,,9.0
schaffrillas,Transformers One,,8.0
schaffrillas,Jane Austen Wrecked My Life,,6.0
schaffrillas,Joker: Folie à Deux,,3.0
schaffrillas,I'm Still Here,2024,8.0
schaffrillas,The Brutalist,,6.0
schaffrillas,Saturday Night,2024,7.0
schaffrillas,DAN DA DAN: First Encounter,,8.0
schaffrillas,Nickel Boys,,8.0
schaffrillas,Better Man,2024,6.0
schaffrillas,Conclave,,5.0
schaffrillas,Beetlejuice Beetlejuice,,6.0
schaffrillas,Alien: Romulus,,7.0
schaffrillas,Saving Bikini Bottom: The Sandy Cheeks Movie,,2.0
schaffrillas,Baby Assassins: Nice Days,,9.0
schaffrillas,Alien: Monday,,
schaffrillas,Deadpool & Wolverine,,5.0
schaffrillas,Trap,2024,7.0
schaffrillas,My Deer Friend Nokotan,,6.0
schaffrillas,Despicable Me 4,,5.0
schaffrillas,Memoir of a Snail,,9.0
schaffrillas,Look Back,2024,9.0
schaffrillas,Inside Out 2,2024,8.0
schaffrillas,Flow,2024,8.0
schaffrillas,Anora,,9.0
schaffrillas,The Apprentice,2024,8.0
schaffrillas,The Substance,,9.0
schaffrillas,Jim Henson Idea Man,,7.0
schaffrillas,Emilia Pérez,,3.0
schaffrillas,Megalopolis,2024,6.0
schaffrillas,May the 12th Be with You,,1.0
schaffrillas,Not Just a Goof,,8.0
schaffrillas,Furiosa: A Mad Max Saga,,8.0
schaffrillas,Unfrosted,,3.0
schaffrillas,Knuckles,2024,5.0
schaffrillas,How to Make Millions Before Grandma Dies,,6.0
schaffrillas,Challengers,,9.0
schaffrillas,Snack Shack,,7.0
schaffrillas,Nanoshark,,10.0
schaffrillas,Magic Candies,,7.0
schaffrillas,Kung Fu Panda 4,,5.0
schaffrillas,Megamind vs. the Doom Syndicate,,1.0
schaffrillas,Madame Web,,2.0
schaffrillas,Taylor Tomlinson: Have It All,,8.0
schaffrillas,Dune: Part Two,,9.0
schaffrillas,A Different Man,,8.0
schaffrillas,A Real Pain,,8.0
schaffrillas,Dìdi (弟弟),2024,8.0
schaffrillas,I Saw the TV Glow,,8.0
schaffrillas,ted,2024,8.0
schaffrillas,Pokémon Concierge,,7.0
schaffrillas,Mooned,,7.0
schaffrillas,The Color Purple,2023,6.0
schaffrillas,Scott Pilgrim Takes Off,2023,9.0
schaffrillas,The Curse,2023,8.0
schaffrillas,Wish,2023,4.0
schaffrillas,BLUE EYE SAMURAI,,10.0
schaffrillas,Godzilla Minus One,,8.0
schaffrillas,Chicken Run: Dawn of the Nugget,,5.0
schaffrillas,Poison,2023,9.0
schaffrillas,The Rat Catcher,2023,8.0
schaffrillas,The Swan,2023,8.0
schaffrillas,Sing Sing,2023,9.0
schaffrillas,Dream Scenario,,9.0
schaffrillas,American Fiction,,6.0
schaffrillas,Priscilla,,7.0
schaffrillas,The Killer,2023,6.0
schaffrillas,Maestro,2023,6.0
schaffrillas,Poor Things,2023,9.0
schaffrillas,The Wonderful Story of Henry Sugar,,7.0
schaffrillas,The Holdovers,,10.0
schaffrillas,You Are So Not Invited to My Bat Mitzvah,,7.0
schaffrillas,Synthwave Horror: Nosferatu,,4.0
schaffrillas,Teenage Mutant Ninja Turtles: Mutant Mayhem,,7.0
schaffrillas,The Boy and the Heron,,10.0
schaffrillas,No Disrespect,,3.0
schaffrillas,Oppenheimer,2023,9.0
schaffrillas,Mission: Impossible – Dead Reckoning,,9.0
schaffrillas,Barbie,,9.0
schaffrillas,"Ruby Gillman, Teenage Kraken",,3.0
schaffrillas,They Cloned Tyrone,,7.0
schaffrillas,Nimona,2023,8.0
schaffrillas,The Spider Within: A Spider-Verse Story,,7.0
schaffrillas,Once Upon a Studio,,9.0
schaffrillas,Spider-Man: Across the Spider-Verse,,9.0
schaffrillas,Elemental,2023,5.0
schaffrillas,Perfect Days,2023,8.0
schaffrillas,Asteroid City,,7.0
schaffrillas,Anatomy of a Fall,,8.0
schaffrillas,May December,,9.0
schaffrillas,Killers of the Flower Moon,,8.0
schaffrillas,The Zone of Interest,,6.0
schaffrillas,Chicken for Linda!,,8.0
schaffrillas,Indiana Jones and the Dial of Destiny,,3.0
schaffrillas,Mars Express,,8.0
schaffrillas,22 Rooms,,8.0
schaffrillas,Guardians of the Galaxy Vol. 3,,9.0
schaffrillas,The Owl House: Watching and Dreaming,,8.0
schaffrillas,The Super Mario Bros. Movie,,7.0
schaffrillas,Murder Mystery 2,,5.0
schaffrillas,Baby Assassins 2,,7.0
schaffrillas,Bottoms,,8.0
schaffrillas,Dungeons & Dragons: Honor Among Thieves,,8.0
schaffrillas,John Wick: Chapter 4,,7.0
schaffrillas,BlackBerry,2023,9.0
schaffrillas,The Match-Stick Flame 2: Lunada Bay,,5.0
schaffrillas,Rye Lane,,9.0
schaffrillas,Theater Camp,2023,6.0
schaffrillas,Past Lives,,8.0
schaffrillas,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,,8.0
schaffrillas,Babylon,2022,7.0
schaffrillas,Avatar: The Way of Water,,6.0
schaffrillas,Puss in Boots: The Last Wish,,9.0
schaffrillas,Eyeballs in the Darkness,,8.0
schaffrillas,The Guardians of the Galaxy Holiday Special,,8.0
schaffrillas,Dinosaur Hotel II,,4.0
schaffrillas,Strange World,2022,5.0
schaffrillas,Suzume,,7.0
schaffrillas,Zen - Grogu and Dust Bunnies,,6.0
schaffrillas,The Soccer Football Movie,,2.0
schaffrillas,Black Panther: Wakanda Forever,,7.0
schaffrillas,Guillermo del Toro's Pinocchio,,7.0
schaffrillas,Roald Dahl's Matilda the Musical,,7.0
schaffrillas,Daddy Daughter Trip,,3.0
schaffrillas,Hundreds of Beavers,,9.0
schaffrillas,Entergalactic,,8.0
schaffrillas,The Munsters,,4.0
schaffrillas,Werewolf by Night,,7.0
schaffrillas,All Quiet on the Western Front,2022,5.0
schaffrillas,The Menu,2022,9.0
schaffrillas,The Fabelmans,,9.0
schaffrillas,Glass Onion,,9.0
schaffrillas,See How They Run,2022,6.0
schaffrillas,Weird: The Al Yankovic Story,2022,9.0
schaffrillas,Welcome to the Club,2022,2.0
schaffrillas,Pinocchio,2022,3.0
schaffrillas,The Banshees of Inisherin,,9.0
schaffrillas,The Whale,2022,2.0
schaffrillas,Women Talking,,8.0
schaffrillas,TÁR,2022,7.0
schaffrillas,Ouija Shark 2,,4.0
schaffrillas,Nope,,8.0
schaffrillas,Z-O-M-B-I-E-S 3,,5.0
schaffrillas,Minions: The Rise of Gru,,4.0
schaffrillas,Thor: Love and Thunder,,5.0
schaffrillas,The Flying Sailor,,4.0
schaffrillas,Ms. Marvel,,7.0
schaffrillas,Lightyear,2022,3.0
schaffrillas,An Ostrich Told Me the World Is Fake and I Think I Believe It,,6.0
schaffrillas,Bo Burnham: The Inside Outtakes,,8.0
schaffrillas,The Bob's Burgers Movie,,6.0
schaffrillas,Obi-Wan Kenobi,2023,6.0
schaffrillas,Elvis,2022,4.0
schaffrillas,Ice Merchants,,7.0
schaffrillas,Aftersun,,10.0
schaffrillas,Triangle of Sadness,,7.0
schaffrillas,Three Thousand Years of Longing,,7.0
schaffrillas,Chip 'n Dale: Rescue Rangers,,6.0
schaffrillas,Top Gun: Maverick,,8.0
