title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity
Alien³,,alien,8,272108.0,Alien from the Darkness,1997-01-24,['Norio Takanami'],"['Kumiko Nishihara', 'Yumi Takada', 'Yoko Soumi', 'Hiroko Konishi', 'Sumie Baba']","['Animation', 'Horror', 'Science Fiction']",ja,"The all female crew of the transport ship Muse is on a mission in deep space. They pick up an SOS signal and discover a derelict space cruiser where all the women have died mysteriously. They take the only survivor, a young woman named Flair, and detonate the ghost ship. However, the danger is just beginning. With Flair on the Muse, the romances between the women begin to take a new turn. One by one, the crewmembers are attacked by a mysterious alien presence, desperate to find a way to reproduce with human women!",6.154,13,1.3174
Evil Dead,,evil dead,6,109428.0,Evil Dead,2013-04-05,['Fede Álvarez'],"['Jane Levy', 'Shiloh Fernandez', 'Lou Taylor Pucci', 'Jessica Lucas', 'Elizabeth Blackmore', 'Phoenix Connolly', 'Jim McLarty', 'Sian Davis', 'Stephen Butterworth', 'Karl Willetts']",['Horror'],en,"Mia, a drug addict, is determined to kick the habit. To that end, she asks her brother, David, his girlfriend, Natalie and their friends Olivia and Eric to accompany her to their family's remote forest cabin to help her through withdrawal. Eric finds a mysterious Book of the Dead at the cabin and reads aloud from it, awakening an ancient demon. All hell breaks loose when the malevolent entity possesses Mia.",6.575,4765,4.6396
10 Cloverfield Lane,,10 cloverfield lane,5,333371.0,10 Cloverfield Lane,2016-03-10,['Dan Trachtenberg'],"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin', 'Suzanne Cryer', 'Bradley Cooper', 'Sumalee Montano', 'Frank Mottek']","['Thriller', 'Science Fiction', 'Drama', 'Horror']",en,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",6.991,8210,5.1316
12 Angry Men,,12 angry men,5,389.0,12 Angry Men,1957-04-10,['Sidney Lumet'],"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda', 'Joseph Sweeney', 'Ed Begley']",['Drama'],en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",8.549,9279,28.6653
2001: A Space Odyssey,,2001 space odyssey,5,62.0,2001: A Space Odyssey,1968-04-02,['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank W. Miller']","['Science Fiction', 'Mystery', 'Adventure']",en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",8.064,11948,9.6135
A Complete Unknown,,complete unknown,5,661539.0,A Complete Unknown,2024-12-18,['James Mangold'],"['Timothée Chalamet', 'Edward Norton', 'Elle Fanning', 'Monica Barbaro', 'Scoot McNairy', 'Dan Fogler', 'Boyd Holbrook', 'Will Harrison', 'Joe Tippett', 'Eriko Hatsune']","['Drama', 'Music']",en,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",7.103,1140,6.8395
Aftersun,,aftersun,5,965150.0,Aftersun,2022-10-21,['Charlotte Wells'],"['Paul Mescal', 'Frankie Corio', 'Brooklyn Toulson', 'Celia Rowlson-Hall', 'Sally Messham', 'Ayşe Parlak', 'Sophia Lamanova', 'Spike Fearn', 'Harry Perdios', 'Frank Corio']",['Drama'],en,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,7.68,1596,6.4948
Alice in Wonderland,2010.0,alice in wonderland,5,12155.0,Alice in Wonderland,2010-03-03,['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']","['Family', 'Fantasy', 'Adventure']",en,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",6.635,14315,12.6561
Anatomy of a Fall,,anatomy of fall,5,915935.0,Anatomy of a Fall,2023-08-23,['Justine Triet'],"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Samuel Theis', 'Jehnny Beth', 'Saadia Bentaïeb', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières']","['Thriller', 'Mystery', 'Crime']",fr,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",7.536,2866,5.1021
Anora,,anora,5,1064213.0,Anora,2024-10-14,['Sean Baker'],"['Mikey Madison', 'Mark Eydelshteyn', 'Yura Borisov', 'Karren Karagulian', 'Vache Tovmasyan', 'Luna Sofía Miranda', 'Lindsey Normington', 'Darya Ekamasova', 'Aleksey Serebryakov', 'Anton Bitter']","['Drama', 'Comedy', 'Romance']",en,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",7.045,2465,27.7493
Ant-Man,,antman,5,102899.0,Ant-Man,2015-07-14,['Peyton Reed'],"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale', 'Anthony Mackie', 'Judy Greer', 'Abby Ryder Fortson', 'Michael Peña', 'David Dastmalchian']","['Science Fiction', 'Action', 'Adventure']",en,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",7.069,20217,7.2247
Arrival,2016.0,arrival,5,329865.0,Arrival,2016-11-10,['Denis Villeneuve'],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', ""Mark O'Brien"", 'Tzi Ma', 'Abigail Pniowsky', 'Julia Scarlett Dan', 'Jadyn Malone', 'Frank Schorpion']","['Drama', 'Science Fiction', 'Mystery']",en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",7.617,18412,10.0199
Asteroid City,,asteroid city,5,747188.0,Asteroid City,2023-06-08,['Wes Anderson'],"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks', 'Jeffrey Wright', 'Tilda Swinton', 'Bryan Cranston', 'Edward Norton', 'Adrien Brody', 'Liev Schreiber', 'Hope Davis']","['Comedy', 'Drama']",en,"In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",6.453,2167,5.8979
Avengers: Endgame,,avengers endgame,5,299534.0,Avengers: Endgame,2019-04-24,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Josh Brolin', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch']","['Adventure', 'Science Fiction', 'Action']",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",8.2,26554,18.6792
Avengers: Infinity War,,avengers infinity war,5,299536.0,Avengers: Infinity War,2018-04-25,"['Joe Russo', 'Anthony Russo']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Josh Brolin', 'Mark Ruffalo', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman']","['Adventure', 'Action', 'Science Fiction']",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.236,30770,27.925
