username,title,year,rating,film_slug
jay,M3GAN 2.0,,5,m3gan-20
jay,Titan: The OceanGate Submersible Disaster,,5,titan-the-oceangate-submersible-disaster
jay,Fear Street: Prom Queen,,3,fear-street-prom-queen
jay,The History of Sound,,5,the-history-of-sound
jay,Connemara,,2,connemara
jay,Romería,,6,romeria
jay,Eleanor the Great,,5,eleanor-the-great
jay,It Was Just an Accident,,8,it-was-just-an-accident
jay,Splitsville,,3,splitsville
jay,Alpha,,8,alpha-2025-1
jay,The Phoenician Scheme,,7,the-phoenician-scheme
jay,Pillion,2025.0,8,pillion-2025
jay,Die My Love,,8,die-my-love
jay,Urchin,2025.0,7,urchin-2025
jay,Bring Her Back,,8,bring-her-back
jay,Mission: Impossible – The Final Reckoning,,6,mission-impossible-the-final-reckoning
jay,Final Destination Bloodlines,,7,final-destination-bloodlines
jay,A Minecraft Movie,,2,a-minecraft-movie
jay,The Monkey,2025.0,2,the-monkey-2025
jay,Mickey 17,,6,mickey-17
jay,Bridget Jones: Mad About the Boy,,7,bridget-jones-mad-about-the-boy
jay,A Complete Unknown,,7,a-complete-unknown
jay,Sonic the Hedgehog 3,,6,sonic-the-hedgehog-3
jay,Wallace & Gromit: Vengeance Most Fowl,,8,wallace-gromit-vengeance-most-fowl
jay,Nosferatu,2024.0,6,nosferatu-2024
jay,Hot Frosty,,3,hot-frosty
jay,Wicked,2024.0,6,wicked-2024
jay,Smile 2,2024.0,6,smile-2-2024
jay,Terrifier 3,,4,terrifier-3
jay,Bring Them Down,,7,bring-them-down
jay,We Live in Time,,6,we-live-in-time
jay,Joker: Folie à Deux,,4,joker-folie-a-deux
jay,Queer,2024.0,8,queer-2024
jay,The Room Next Door,2024.0,8,the-room-next-door-2024
jay,Saturday Night,2024.0,5,saturday-night-2024
jay,Better Man,2024.0,8,better-man-2024
jay,Conclave,,7,conclave
jay,Nickel Boys,,8,nickel-boys
jay,The Crow,2024.0,2,the-crow-2024
jay,Alien: Romulus,,5,alien-romulus
jay,Deadpool & Wolverine,,4,deadpool-wolverine
jay,Trap,2024.0,7,trap-2024
jay,Twisters,,6,twisters
jay,Longlegs,,6,longlegs
jay,MaXXXine,,4,maxxxine
jay,Flow,2024.0,7,flow-2024
jay,Anora,,7,anora
jay,The Apprentice,2024.0,7,the-apprentice-2024
jay,The Substance,,7,the-substance
jay,The Surfer,2024.0,7,the-surfer-2024
jay,Kinds of Kindness,,7,kinds-of-kindness
jay,Bird,2024.0,6,bird-2024
