title,year,clean_title,appearance_count
Alien³,,alien,8
Evil Dead,,evil dead,6
10 Cloverfield Lane,,10 cloverfield lane,5
12 Angry Men,,12 angry men,5
2001: A Space Odyssey,,2001 space odyssey,5
A Complete Unknown,,complete unknown,5
Aftersun,,aftersun,5
Alice in Wonderland,2010.0,alice in wonderland,5
Anatomy of a Fall,,anatomy of fall,5
Anora,,anora,5
Ant-Man,,antman,5
Arrival,2016.0,arrival,5
Asteroid City,,asteroid city,5
Avengers: Endgame,,avengers endgame,5
Avengers: Infinity War,,avengers infinity war,5
Baby Driver,,baby driver,5
Barbie,,barbie,5
Batman Begins,,batman begins,5
Being John Malkovich,,being john malkovich,5
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,5
BlacKkKlansman,,blackkklansman,5
Black Panther,,black panther,5
Black Panther: Wakanda Forever,,black panther wakanda forever,5
Blade Runner 2049,2049.0,blade runner 2049,5
Bodies Bodies Bodies,,bodies bodies bodies,5
Bohemian Rhapsody,,bohemian rhapsody,5
Booksmart,,booksmart,5
Borat Subsequent Moviefilm,,borat subsequent moviefilm,5
Bottoms,,bottoms,5
Boyhood,,boyhood,5
C'mon C'mon,,cmon cmon,5
CODA,2021.0,coda,5
Call Me by Your Name,,call me by your name,5
Captain America: Civil War,,captain america civil war,5
Challengers,,challengers,5
Coco,2017.0,coco,5
Conclave,,conclave,5
Deadpool,,deadpool,5
Don't Look Up,2021.0,dont look up,5
Drive,2011.0,drive,5
Drive My Car,,drive my car,5
Dune,2021.0,dune,5
Dune: Part Two,,dune part two,5
Dunkirk,2017.0,dunkirk,5
Eighth Grade,,eighth grade,5
Elf,,elf,5
Elvis,2022.0,elvis,5
Enemy,,enemy,5
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,5
Everything Everywhere All at Once,,everything everywhere all at once,5
Ex Machina,2015.0,ex machina,5
First Man,,first man,5
Flow,2024.0,flow,5
Ford v Ferrari,,ford v ferrari,5
Foxcatcher,,foxcatcher,5
Frances Ha,,frances ha,5
Furiosa: A Mad Max Saga,,furiosa mad max saga,5
Game Night,,game night,5
Get Out,2017.0,get out,5
Glass Onion,,glass onion,5
Gone Girl,,gone girl,5
Good Time,,good time,5
Gravity,2013.0,gravity,5
Guardians of the Galaxy,,guardians of galaxy,5
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,5
Hell or High Water,,hell or high water,5
Her,,her,5
Home Alone,,home alone,5
Home Alone 2: Lost in New York,,home alone 2 lost in new york,5
I'm Thinking of Ending Things,,im thinking of ending things,5
Inception,,inception,5
Inglourious Basterds,,inglourious basterds,5
Inside Llewyn Davis,,inside llewyn davis,5
Inside Out,2015.0,inside out,5
Interstellar,,interstellar,5
Isle of Dogs,2018.0,isle of dogs,5
Jaws,,jaws,5
Killers of the Flower Moon,,killers of flower moon,5
King Richard,,king richard,5
