title,year,clean_title,appearance_count
Alien³,,alien,224
The Evil Dead,,evil dead,205
Parasite,2019.0,parasite,180
Barbie,,barbie,173
La La Land,,la la land,171
Final Destination,,final destination,170
Challengers,,challengers,167
Oppenheimer,2023.0,oppenheimer,167
Knives Out,2019.0,knives out,166
Everything Everywhere All at Once,,everything everywhere all at once,165
Once Upon a Time... in Hollywood,,once upon time in hollywood,164
The Batman,,batman,163
Nope,,nope,162
Whiplash,2014.0,whiplash,162
Gone Girl,,gone girl,161
Dune,2021.0,dune,160
Lady Bird,,lady bird,160
Sinners,2025.0,sinners,160
Interstellar,,interstellar,159
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,159
The Menu,2022.0,menu,159
American Psycho,,american psycho,158
Baby Driver,,baby driver,158
Taxi Driver,,taxi driver,158
Midsommar,,midsommar,157
Glass Onion,,glass onion,156
Joker,2019.0,joker,156
Poor Things,2023.0,poor things,156
Arrival,2016.0,arrival,155
The Substance,,substance,155
Anora,,anora,154
Get Out,2017.0,get out,154
The Shining,,shining,154
The Social Network,,social network,154
Hereditary,,hereditary,153
The Dark Knight,,dark knight,153
Dune: Part Two,,dune part two,152
Fight Club,,fight club,152
The Grand Budapest Hotel,,grand budapest hotel,152
The Matrix,,matrix,152
Little Women,2019.0,little women,151
Mad Max: Fury Road,,mad max fury road,151
Se7en,,se7en,151
The Wolf of Wall Street,,wolf of wall street,151
Scott Pilgrim vs. the World,,scott pilgrim vs world,150
Scream,,scream,150
Top Gun: Maverick,,top gun maverick,150
Inception,,inception,149
Pulp Fiction,,pulp fiction,149
The Holdovers,,holdovers,149
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,148
Her,,her,148
Nosferatu,2024.0,nosferatu,148
Spider-Man: Homecoming,,spiderman homecoming,148
The Lighthouse,2019.0,lighthouse,148
Zodiac,,zodiac,148
Fantastic Mr. Fox,,fantastic mr fox,147
Spider-Man,,spiderman,147
Uncut Gems,,uncut gems,147
Us,2019.0,us,147
The Silence of the Lambs,,silence of lambs,146
The Truman Show,,truman show,146
Thor: Ragnarok,,thor ragnarok,146
Bottoms,,bottoms,145
Black Swan,,black swan,144
Drive,2011.0,drive,144
Inside Out,2015.0,inside out,144
John Wick,,john wick,144
Jurassic Park,,jurassic park,144
Marriage Story,2019.0,marriage story,144
Avengers: Endgame,,avengers endgame,143
Avengers: Infinity War,,avengers infinity war,143
Booksmart,,booksmart,143
Guardians of the Galaxy,,guardians of galaxy,143
The Nice Guys,,nice guys,143
Black Panther,,black panther,142
Call Me by Your Name,,call me by your name,142
Good Time,,good time,142
Prisoners,,prisoners,142
Saltburn,,saltburn,142
The Favourite,,favourite,142
Before Sunrise,,before sunrise,141
Blade Runner 2049,2049.0,blade runner 2049,141
Frances Ha,,frances ha,141
Kill Bill: Vol. 1,,kill bill vol 1,141
Killers of the Flower Moon,,killers of flower moon,141
Nightcrawler,,nightcrawler,141
Spider-Man: Far From Home,,spiderman far from home,141
Star Wars,,star wars,141
Tenet,,tenet,141
The Florida Project,,florida project,141
The Hunger Games,,hunger games,141
The Thing,,thing,141
Dunkirk,2017.0,dunkirk,140
Ex Machina,2015.0,ex machina,140
Inglourious Basterds,,inglourious basterds,140
Mulholland Drive,,mulholland drive,140
Spider-Man: Across the Spider-Verse,,spiderman across spiderverse,140
The Banshees of Inisherin,,banshees of inisherin,140
Aftersun,,aftersun,139
Mickey 17,,mickey 17,139
Moonrise Kingdom,,moonrise kingdom,139
The Witch,2015.0,witch,139
Anatomy of a Fall,,anatomy of fall,138
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,138
Moonlight,2016.0,moonlight,138
Past Lives,,past lives,138
